Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
98,1.4060,0.0810,0.1716,-19.3185,-22.9941,-1.9418,-1.3145,-1.3296,-1.3145,4.6753,3.3630,0.3295,0.4951,-0.2476,0.5898,-0.0046
99,1.6020,1.4011,0.0950,-18.3101,-24.9385,-2.0123,1.0084,-1.9444,1.0084,3.1576,1.1570,-0.1215,-0.6105,0.0305,-0.0909,0.0734
100,0.1255,0.9419,0.0174,-17.6725,-25.3147,-1.9459,0.6376,-0.3762,0.6376,3.1388,1.3210,0.0533,0.3030,0.0775,0.2482,-0.0098
101,1.9054,1.2467,0.0837,-17.9669,-27.6683,-1.8499,-0.2944,-2.3536,-0.2944,2.5293,2.0291,0.4994,-0.5941,0.1024,-0.0469,-0.0791
102,1.0443,0.2721,0.1971,-17.5461,-28.6961,-1.7150,0.4208,-1.0278,0.4208,2.2398,2.1135,0.0060,-0.1844,0.1873,0.1173,-0.0186
103,1.2272,0.9926,0.0442,-17.0627,-30.2676,-1.6003,0.4834,-1.5715,0.4834,3.1604,2.7407,-0.0367,-0.0816,-0.1117,0.2438,-0.0538
104,0.6066,0.1001,0.1538,-16.7482,-30.9932,-1.5433,0.3146,-0.7256,0.3146,4.0539,2.5445,-0.3219,0.2846,0.0113,0.0460,-0.1292
105,1.9512,1.5740,0.0731,-15.0295,-33.0961,-1.4817,1.7187,-2.1029,1.7187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,1.3910,0.2721,0.1399,-14.5857,-34.3598,-1.3478,0.4438,-1.2638,0.4438,4.5901,1.8626,-0.0339,0.0096,-0.0063,0.0796,0.1504
107,1.5823,0.5526,0.0198,-13.9266,-36.2721,-1.2088,0.6590,-1.9122,0.6590,4.2616,0.5187,0.4448,0.4753,0.0014,-0.4139,0.0245
108,0.9204,1.9618,0.1723,-11.2712,-36.3853,-1.2344,2.6555,-0.1133,2.6555,2.6616,-0.0807,0.7978,-0.1765,-0.1629,-0.2456,-0.1011
109,0.9073,0.8549,0.0653,-10.0162,-36.8968,-1.1989,1.2549,-0.5115,1.2549,2.3830,-0.6728,-0.1459,0.0357,-0.0590,0.4788,0.1530
110,1.1838,1.6009,0.1748,-7.9810,-37.6190,-0.9026,2.0352,-0.7222,2.0352,3.4462,-1.6677,-0.2279,0.2479,-0.0967,-0.4630,0.0176
111,0.4750,0.7353,0.1396,-7.1157,-37.6985,-0.8041,0.8653,-0.0795,0.8653,4.5534,-2.1598,-0.1058,0.3752,0.1955,0.5160,-0.1077
112,0.3456,0.6792,0.1518,-7.1171,-37.8992,-0.6969,-0.0014,-0.2007,-0.0014,4.8293,-2.0313,0.3121,0.5999,0.0371,0.0518,-0.1571
113,1.9592,0.2313,0.1804,-4.9965,-38.7909,-0.5395,2.1206,-0.8916,2.1206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
