Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
136,-0.3228,0.3489,-0.0108,0.1486,-0.3500,-0.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,-0.1612,0.3412,0.0865,0.0693,-0.3066,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,-0.0805,-0.4222,0.0643,0.2707,0.3599,0.0722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,0.6487,-0.4871,-0.0792,-0.5543,0.5775,-0.1463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,0.1233,-0.8140,0.0421,0.1474,0.8054,0.1182,4.9748,-0.8053,0.0630,0.0113,0.1839,0.2008,0.1177
141,0.0340,0.3339,-0.0848,-0.0800,-0.2883,-0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,-0.3782,0.0668,0.0998,0.3411,-0.1525,0.0679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,-0.4956,-0.5437,0.0809,0.6674,0.2715,0.1804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,-0.7244,0.6655,0.0496,0.6363,-0.7950,0.1018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,0.7022,-0.7518,0.0592,-0.6446,0.8907,0.0529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
146,0.3130,0.5664,0.0199,-0.3913,-0.6429,0.1031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,0.6385,-0.3323,0.0507,-0.6766,0.3106,0.1234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,-0.2146,0.5381,0.0756,0.3781,-0.4021,0.1390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,0.4418,0.9558,-0.0294,-0.0610,-1.0410,-0.0554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,0.7073,0.1052,0.0149,-0.6522,-0.3555,-0.0774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
151,0.9463,-0.8618,0.0731,-1.1105,0.6348,0.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
152,0.7196,0.6238,-0.0911,-0.4320,-0.8168,-0.0478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
153,0.8660,-0.9523,0.0588,-1.1513,0.6506,0.1275,3.8971,5.1821,-0.3513,-0.1827,0.0755,0.4474,0.0513
154,0.9111,0.6257,-0.0167,-0.5780,-0.8771,0.0050,3.9305,0.5398,-0.0946,0.0706,0.1717,0.3361,-0.0227
155,0.3659,-0.3643,0.0210,-0.5450,0.2322,0.0031,3.9807,0.7093,-0.1690,0.1221,-0.0678,-0.4133,0.0729
156,0.4798,0.9650,0.0050,-0.0850,-1.1334,-0.0100,2.8421,0.6168,-0.1320,0.1027,0.1740,0.1556,0.0678
157,-0.2098,-0.1956,-0.0180,0.0933,0.1826,-0.0960,3.0903,0.7996,-0.0066,0.1447,-0.0922,-0.4235,0.0449
158,0.4270,0.2985,0.0530,-0.2377,-0.3929,0.1178,2.5997,0.6435,0.0865,-0.1479,-0.1048,0.0854,0.1592
159,-0.5778,-0.2636,0.0260,0.3269,0.5177,0.0035,3.2170,0.5850,-0.1529,-0.0093,-0.0496,0.0984,-0.0173
160,0.7817,-0.5303,0.0230,-0.9802,0.2037,0.0946,3.1719,0.7716,0.1936,0.1051,0.0281,-0.1412,0.0460
161,-0.3286,-0.6285,0.0504,-0.0901,0.7132,0.0737,3.7138,0.7310,0.6936,0.3713,0.0120,-0.3309,-0.0875
162,-0.5804,0.5431,-0.0640,0.7862,-0.1880,0.0318,3.8273,0.5923,-0.0092,-0.1964,-0.0735,-0.0085,0.1141
163,-0.8829,0.9512,0.0564,1.2962,-0.1950,0.0581,4.2277,0.1017,0.4329,0.2410,0.0244,1.0213,0.0583
164,-0.9569,-0.6798,0.0984,0.2452,1.0899,0.1465,4.0151,4.7639,-0.3212,-0.6418,0.1169,-0.1714,0.1012
165,-0.2883,0.3719,-0.0357,0.4128,-0.0054,0.0506,4.4848,4.8707,0.5729,-0.6559,-0.0778,0.3509,0.0376
166,0.0774,0.3799,-0.0806,0.2599,-0.2951,-0.0970,4.8874,4.9403,0.1202,0.3675,-0.1752,-0.2642,-0.0061
167,0.7281,-0.4413,-0.0486,-0.9021,-0.2491,0.0452,4.8042,0.0268,0.0228,-0.3386,-0.1801,1.0316,-0.0369
168,0.1652,-0.0706,-0.0129,-0.0655,-0.0768,-0.0372,4.5782,0.2134,-0.5552,-0.0095,-0.0451,-0.2995,0.0483
169,0.8889,-0.8838,-0.0883,-1.3107,-0.0590,-0.1235,4.0162,0.4478,0.0336,-0.0567,-0.1316,0.0723,0.0188
170,0.1973,0.4822,0.0698,0.2020,-0.4727,0.0896,3.6833,0.3335,0.0595,-0.3204,-0.1388,0.1246,0.1004
171,0.8314,-0.7934,-0.0004,-1.0257,-0.0161,0.0305,3.3642,0.6919,-0.5937,0.2936,-0.0895,-0.1241,-0.1636
172,0.4834,0.8150,-0.0292,0.2702,-1.0269,-0.0671,2.2967,0.4639,0.0647,0.0304,-0.0283,-0.2987,-0.0848
173,0.2065,0.3862,0.0724,0.0914,-0.4528,0.1437,2.0372,0.2023,-0.5098,0.2475,-0.0981,0.3165,0.1223
174,-0.1508,-0.6630,0.0917,-0.5027,0.5371,0.1097,2.2768,0.3512,0.3450,0.4505,0.1555,0.0186,-0.0612
175,-0.7994,0.6199,-0.0299,0.9415,0.3012,-0.0517,2.8968,0.1747,0.5304,0.2886,-0.0175,0.0578,0.1381
176,0.7692,-0.0607,-0.0045,-0.4808,-0.6589,0.0468,2.0913,0.1262,0.3026,0.5617,-0.0051,0.0095,0.0816
177,-0.7536,0.1343,0.0384,0.5820,0.5764,0.0082,2.7977,0.1449,0.6214,-0.2602,-0.0918,0.3771,0.0982
178,0.3224,-0.6902,0.0489,-0.7353,0.0784,0.0357,2.7774,0.2826,-0.1440,-0.2170,-0.0264,-0.6605,-0.1177
179,-0.8120,0.8681,0.0301,1.1841,0.1235,0.0338,3.3407,-0.0731,0.1142,-0.5364,-0.0149,0.0950,-0.0007
180,0.3638,-0.4994,0.0170,-0.6765,-0.1119,0.0781,2.7659,-0.0412,-0.2211,-0.5932,0.0629,-0.3622,-0.0668
181,0.6795,0.5092,0.0029,0.1461,-0.7085,0.0475,2.2485,-0.2046,0.3884,-0.0735,0.1631,-0.2469,-0.0962
182,0.1383,0.1445,-0.0054,0.0392,-0.1392,0.0424,2.1426,-0.3288,-0.4341,-0.1475,-0.0161,0.0003,-0.0304
183,0.5231,0.8866,0.0855,0.5997,-0.7204,0.1403,2.2189,-0.9066,0.1217,-1.0455,0.1699,-0.2096,-0.0171
184,-0.5242,-0.5085,0.0368,-0.3889,0.6697,0.0194,2.2866,-0.5894,0.3067,0.3189,0.1319,-0.3364,-0.0345
185,0.4606,0.9081,-0.0940,0.7735,-0.6921,-0.1848,2.6135,-0.8707,-0.5296,-0.4543,0.0514,0.1909,0.1105
186,0.3600,0.0448,0.0768,-0.0981,-0.4138,0.0426,2.2946,-0.9781,-0.0781,0.1176,-0.0810,-0.2815,-0.0384
187,0.6195,-0.8356,-0.0875,-1.0167,-0.3914,-0.0443,1.1630,-1.0690,-0.0124,-0.3399,0.0258,0.1024,-0.1206
