Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
170,0.3873,-0.5241,0.0549,-0.1471,0.7149,0.0163,4.2761,-0.9691,0.3887,0.0862,0.0026,0.1384,-0.0647
171,0.8069,-0.8988,0.0457,0.4050,0.7958,0.1643,3.5778,-1.1456,-0.5318,-0.1350,0.1490,0.0875,0.1876
172,0.8313,-0.1421,-0.0044,0.0024,0.8018,-0.1331,2.4052,-1.1654,0.2906,0.1911,0.1983,-0.4957,-0.0394
173,0.5230,0.5413,0.0718,-0.8597,-0.2579,-0.0090,2.9944,-1.3899,0.2909,0.0440,-0.1317,0.0412,-0.0480
174,-0.9405,0.1980,0.0854,0.4186,-0.9850,0.0559,3.7424,-1.1108,-0.1596,-0.2306,-0.0754,0.1535,-0.0888
175,-0.5086,-0.9619,0.0539,1.5956,0.3075,0.0570,3.2875,-0.6074,0.1126,-0.3335,-0.0942,0.2317,-0.0284
176,-0.6264,-0.7920,0.0590,0.9802,0.2166,-0.1167,2.5814,-0.3094,-0.1422,0.5102,-0.0585,0.7088,0.0681
177,0.1599,-0.6078,-0.0105,-0.2772,0.8935,-0.0132,1.9836,-0.4262,0.2139,-0.5051,-0.0518,-0.1170,-0.1185
178,-0.8955,-0.6894,0.0798,1.0077,0.0127,0.1388,2.9441,-0.0880,0.0922,0.0063,0.0576,-0.0564,-0.0718
179,-0.4896,-0.1298,-0.0648,0.6793,-0.5616,-0.0554,4.0186,0.0984,0.8158,-0.8772,0.0095,0.5451,0.0364
180,-0.0077,-0.0402,0.0400,0.1020,0.2017,-0.0143,3.7538,0.1138,0.5769,-0.2772,0.1446,-0.1721,0.1076
181,0.4870,0.1369,0.0623,-0.6594,0.1038,0.1937,2.8036,-0.2844,-0.3139,0.5858,0.0451,0.3427,-0.0501
182,-0.3046,0.6420,0.0321,0.1631,-0.5186,0.1279,3.9777,-0.3280,-0.2131,-0.3483,-0.0188,-0.0287,-0.1580
183,-0.0521,-0.5204,-0.0748,0.2028,-0.0047,0.0205,3.8673,-0.4273,0.0010,-0.3528,0.0939,0.5204,0.0743
184,0.0348,0.2954,0.0368,-0.2340,-0.2795,-0.0022,3.3740,-0.6318,0.1562,0.0447,0.0234,-0.6275,-0.0734
